player,nationality,position,team,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,team_county
Casper Tengstedt,DEN,FW, Benfica,2000,4,2,137,1.5,0,1,1,0,0,0,0,0,0.1,0.1,0.4,0.5,6,5,10,0.00,0.66,0.66,0.00,0.66,0.09,0.25,0.34,0.09,0.34,pt
Marc-André ter Stegen,GER,GK, Barcelona,1992,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,es
Aleksa Terzić,SRB,DF, RB Salzburg,1999,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,7,2,21,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06,at
Tetê,BRA,FW, Galatasaray,2000,5,3,229,2.5,1,0,1,1,0,0,1,0,0.2,0.2,0.1,0.3,9,10,24,0.39,0.00,0.39,0.39,0.39,0.06,0.05,0.11,0.06,0.11,tr
Jordan Teze,NED,DF, PSV Eindhoven,1999,8,8,720,8.0,1,0,1,1,0,0,0,0,0.3,0.3,0.9,1.2,8,52,17,0.12,0.00,0.12,0.12,0.12,0.03,0.12,0.15,0.03,0.15,nl
Odin Thiago Holm,NOR,MF,t Celtic,2003,2,0,55,0.6,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,sc
Malick Thiaw,GER,DF, Milan,2001,5,5,367,4.1,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,17,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,it
Adrien Thomasson,FRA,MF, Lens,1993,5,2,224,2.5,1,0,1,1,0,0,1,0,0.4,0.4,0.3,0.7,4,10,11,0.40,0.00,0.40,0.40,0.40,0.15,0.11,0.26,0.15,0.26,fr
Marcus Thuram,FRA,FW, Inter,1997,8,5,457,5.1,1,0,1,1,0,0,0,0,1.5,1.5,1.0,2.4,17,12,26,0.20,0.00,0.20,0.20,0.20,0.29,0.19,0.48,0.29,0.48,it
Kieran Tierney, SCO,DF, Real Sociedad,1997,2,1,66,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,1,5,3,0.00,0.00,0.00,0.00,0.00,0.08,0.09,0.17,0.08,0.17,es
Guus Til,NED,MF, PSV Eindhoven,1997,5,3,184,2.0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.4,3,6,5,0.00,0.00,0.00,0.00,0.00,0.11,0.07,0.18,0.11,0.18,nl
Malik Tillman,USA,MF, PSV Eindhoven,2002,8,5,505,5.6,0,1,1,0,0,0,1,0,0.4,0.4,0.5,1.0,11,23,27,0.00,0.18,0.18,0.00,0.18,0.08,0.10,0.17,0.08,0.17,nl
Quinten Timber,NED,MF, Feyenoord,2001,6,6,463,5.1,0,1,1,0,0,0,2,0,0.6,0.6,1.0,1.6,20,23,19,0.00,0.19,0.19,0.00,0.19,0.12,0.20,0.32,0.12,0.32,nl
Takehiro Tomiyasu,JPN,DF,g Arsenal,1998,5,4,303,3.4,0,2,2,0,0,0,0,0,0.3,0.3,0.6,0.9,6,22,8,0.00,0.59,0.59,0.00,0.59,0.10,0.18,0.28,0.10,0.28,en
Fikayo Tomori, ENG,DF, Milan,1997,6,6,539,6.0,0,0,0,0,0,0,2,0,0.5,0.5,0.0,0.5,1,20,2,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,it
Sandro Tonali,ITA,MF,g Newcastle Utd,2000,3,2,161,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,5,6,10,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,en
Lucas Torreira,URU,MF, Galatasaray,1996,6,6,496,5.5,0,0,0,0,0,0,1,0,0.4,0.4,0.5,0.8,3,32,12,0.00,0.00,0.00,0.00,0.00,0.06,0.09,0.15,0.06,0.15,tr
Ferrán Torres,ESP,FW, Barcelona,2000,6,3,334,3.7,3,1,4,3,0,0,2,0,1.6,1.6,0.3,1.8,8,15,40,0.81,0.27,1.08,0.81,1.08,0.43,0.07,0.50,0.43,0.50,es
Óliver Torres,ESP,"FW,MF", Sevilla,1994,3,1,101,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,6,8,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.08,es
Lucas Tousart,FRA,MF, Union Berlin,1997,5,3,236,2.6,0,1,1,0,0,0,3,0,0.1,0.1,0.3,0.4,2,6,4,0.00,0.38,0.38,0.00,0.38,0.05,0.10,0.15,0.05,0.15,de
Chaka Traorè,CIV,MF, Milan,2004,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.56,0.56,0.00,0.56,it
