player,nationality,position,team,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,team_county
Patrick van Aanholt,NED,"MF,DF", PSV Eindhoven,1990,2,1,99,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,3,2,0.00,0.00,0.00,0.00,0.00,0.15,0.03,0.18,0.15,0.18,nl
Brenden Aaronson,USA,MF, Union Berlin,2000,6,1,137,1.5,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,0,2,4,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.31,0.31,0.31,de
Salis Abdul Samed,GHA,MF, Lens,2000,6,6,495,5.5,0,0,0,0,0,0,2,0,0.2,0.2,0.3,0.4,4,13,4,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.08,0.04,0.08,fr
Francesco Acerbi,ITA,DF, Inter,1988,6,4,423,4.7,0,1,1,0,0,0,1,0,0.2,0.2,0.3,0.5,5,22,5,0.00,0.21,0.21,0.00,0.21,0.05,0.06,0.12,0.05,0.12,it
Elias Achouri,TUN,"FW,MF", FC Copenhagen,1999,8,7,552,6.1,0,1,1,0,0,0,0,0,0.3,0.3,0.9,1.2,17,16,38,0.00,0.16,0.16,0.00,0.16,0.05,0.14,0.19,0.05,0.19,dk
Marcos Acuña,ARG,DF, Sevilla,1991,3,2,198,2.2,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.6,2,5,5,0.00,0.45,0.45,0.00,0.45,0.07,0.21,0.27,0.07,0.27,es
Karim Adeyemi,GER,FW, Dortmund,2002,7,3,362,4.0,2,1,3,2,0,0,0,0,1.1,1.1,1.0,2.1,11,8,23,0.50,0.25,0.75,0.50,0.75,0.29,0.24,0.53,0.29,0.53,de
Yacine Adli,FRA,MF, Milan,2000,3,1,123,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.3,4,11,1,0.00,0.00,0.00,0.00,0.00,0.10,0.08,0.18,0.10,0.18,it
Ruben Aguilar,FRA,DF, Lens,1993,2,1,100,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,fr
Manuel Akanji,SUI,"DF,MF",g Manchester City,1995,6,5,464,5.2,2,0,2,2,0,0,1,0,0.8,0.8,0.1,1.0,7,29,4,0.39,0.00,0.39,0.39,0.39,0.16,0.03,0.19,0.16,0.19,en
Nathan Aké,NED,"DF,MF",g Manchester City,1995,7,3,384,4.3,0,0,0,0,0,0,0,0,0.9,0.9,0.4,1.3,10,32,6,0.00,0.00,0.00,0.00,0.00,0.22,0.08,0.30,0.22,0.30,en
Kerem Aktürkoğlu,TUR,"MF,FW", Galatasaray,1998,6,5,440,4.9,2,0,2,2,0,0,0,0,2.1,2.1,0.9,3.0,11,13,33,0.41,0.00,0.41,0.41,0.41,0.43,0.19,0.62,0.43,0.62,tr
David Alaba,AUT,DF, Real Madrid,1992,3,3,250,2.8,0,1,1,0,0,0,1,0,0.4,0.4,0.4,0.8,2,6,9,0.00,0.36,0.36,0.00,0.36,0.14,0.13,0.27,0.14,0.27,es
Luis Alberto,ESP,MF, Lazio,1992,8,8,642,7.1,0,1,1,0,0,0,1,0,0.9,0.9,2.2,3.1,18,71,32,0.00,0.14,0.14,0.00,0.14,0.12,0.31,0.44,0.12,0.44,it
Toby Alderweireld,BEL,DF, Antwerp,1989,5,5,450,5.0,0,0,0,0,0,1,2,0,1.5,0.8,0.1,0.9,2,18,2,0.00,0.00,0.00,0.00,0.00,0.30,0.02,0.33,0.15,0.18,be
Mohamed Ali Cho,FRA,"FW,MF", Real Sociedad,2004,4,1,131,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,8,2,11,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,es
Miguel Almirón,PAR,FW,g Newcastle Utd,1994,6,4,413,4.6,1,1,2,1,0,0,1,0,1.4,1.4,0.6,2.0,18,23,30,0.22,0.22,0.44,0.22,0.44,0.30,0.13,0.43,0.30,0.43,en
Marcos Alonso,ESP,"DF,FW", Barcelona,1990,3,2,139,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,1,9,14,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,es
Barış Alper Yılmaz,TUR,"FW,MF", Galatasaray,2000,6,0,127,1.4,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.6,4,1,14,0.00,0.71,0.71,0.00,0.71,0.05,0.37,0.42,0.05,0.42,tr
Julián Álvarez,ARG,"MF,FW",g Manchester City,2000,5,2,248,2.8,5,2,7,5,0,0,0,0,1.7,1.7,1.3,3.0,15,18,23,1.81,0.73,2.54,1.81,2.54,0.61,0.49,1.09,0.61,1.09,en
Mohamed Aly Camara,GUI,DF, Young Boys,1997,5,5,450,5.0,0,1,1,0,0,0,2,0,0.0,0.0,0.0,0.0,3,13,0,0.00,0.20,0.20,0.00,0.20,0.00,0.01,0.01,0.00,0.01,ch
Aurele Amenda,SUI,DF, Young Boys,2003,4,3,314,3.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,6,0,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,ch
Sofyan Amrabat,MAR,"MF,DF",g Manchester Utd,1996,5,4,325,3.6,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,3,12,5,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.05,0.02,0.05,en
Elliot Anderson, SCO,MF,g Newcastle Utd,2002,2,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.00,0.15,en
Felipe Anderson,BRA,FW, Lazio,1993,8,7,542,6.0,0,1,1,0,0,0,0,0,0.6,0.6,1.3,1.9,15,26,54,0.00,0.17,0.17,0.00,0.17,0.11,0.21,0.32,0.11,0.32,it
Angeliño,ESP,DF, Galatasaray,1997,6,5,424,4.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,6,26,18,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,tr
Peter Ankersen,DEN,DF, FC Copenhagen,1990,7,5,465,5.2,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,8,11,16,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.10,0.05,0.10,dk
Antony,BRA,FW,g Manchester Utd,2000,4,3,232,2.6,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,5,14,16,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,en
Jon Aramburu,VEN,DF, Real Sociedad,2002,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,es
Ronald Araújo,URU,DF, Barcelona,1999,6,6,540,6.0,0,0,0,0,0,0,2,0,0.9,0.9,0.3,1.2,2,26,1,0.00,0.00,0.00,0.00,0.00,0.15,0.05,0.20,0.15,0.20,es
Tomás Araújo,POR,DF, Benfica,2002,3,1,161,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,2,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,pt
Marko Arnautović,AUT,FW, Inter,1989,4,2,192,2.1,2,0,2,2,0,0,0,0,2.9,2.9,0.0,2.9,3,1,18,0.94,0.00,0.94,0.94,0.94,1.35,0.00,1.35,1.35,1.35,it
Kepa Arrizabalaga,ESP,GK, Real Madrid,1994,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,es
Arthur,BRA,"FW,DF", Benfica,1998,4,1,120,1.3,1,0,1,1,0,0,0,0,0.7,0.7,0.1,0.8,0,2,6,0.75,0.00,0.75,0.75,0.75,0.51,0.09,0.60,0.51,0.60,pt
Marco Asensio,ESP,"FW,MF", Paris S-G,1996,3,0,37,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,5,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,fr
Kristjan Asllani,ALB,MF, Inter,2002,6,2,205,2.3,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,0,14,4,0.00,0.00,0.00,0.00,0.00,0.04,0.08,0.12,0.04,0.12,it
Otavio Ataide,BRA,DF, Porto,2002,2,2,210,2.3,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.43,0.43,0.00,0.43,0.00,0.01,0.01,0.00,0.01,pt
Emil Audero,ITA,GK, Inter,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,it
Carlos Augusto,BRA,"DF,FW", Inter,1999,7,5,475,5.3,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,13,15,20,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.10,0.08,0.10,it
Yann Aurel Bisseck,GER,DF, Inter,2000,3,2,172,1.9,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.2,5,12,5,0.00,0.00,0.00,0.00,0.00,0.02,0.08,0.11,0.02,0.11,it
Fredrik Aursnes,NOR,"DF,MF", Benfica,1995,6,6,540,6.0,0,1,1,0,0,0,0,0,0.1,0.1,0.8,0.9,10,24,37,0.00,0.17,0.17,0.00,0.17,0.01,0.14,0.15,0.01,0.15,pt
Kaan Ayhan,TUR,"MF,DF", Galatasaray,1994,5,5,380,4.2,0,0,0,0,0,0,2,0,0.4,0.4,0.2,0.6,3,18,7,0.00,0.00,0.00,0.00,0.00,0.09,0.04,0.13,0.09,0.13,tr
Neil El Aynaoui,FRA,MF, Lens,2001,3,0,138,1.5,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,4,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,fr
Irakli Azarov,GEO,DF, Shakhtar,2002,4,3,296,3.3,0,1,1,0,0,0,0,0,0.1,0.1,0.9,0.9,4,15,11,0.00,0.30,0.30,0.00,0.30,0.02,0.26,0.28,0.02,0.28,ua
César Azpilicueta,ESP,DF, Atlético Madrid,1989,4,1,155,1.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,5,7,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,es
Isaac Babadi,NED,"FW,MF", PSV Eindhoven,2005,2,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,nl
Loïc Bade,FRA,DF, Sevilla,2000,2,1,95,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,es
Alexander Bah,DEN,DF, Benfica,1997,3,3,191,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,9,6,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,pt
Samson Baidoo,AUT,DF, RB Salzburg,2004,5,3,303,3.4,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,2,11,5,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,at
Cédric Bakambu,COD,FW, Galatasaray,1991,2,0,38,0.4,1,0,1,1,0,0,1,0,0.5,0.5,0.0,0.6,1,0,4,2.37,0.00,2.37,2.37,2.37,1.25,0.09,1.34,1.25,1.34,tr
Johan Bakayoko,BEL,FW, PSV Eindhoven,2003,8,8,649,7.2,1,1,2,1,0,0,0,0,1.2,1.2,1.8,3.0,35,11,82,0.14,0.14,0.28,0.14,0.28,0.17,0.25,0.42,0.17,0.42,nl
Alejandro Balde,ESP,DF, Barcelona,2003,6,3,331,3.7,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,29,17,37,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.07,0.03,0.07,es
Michel-Ange Balikwisha,BEL,"FW,MF", Antwerp,2001,5,5,384,4.3,1,0,1,1,0,0,0,0,0.7,0.7,0.6,1.2,12,14,24,0.23,0.00,0.23,0.23,0.23,0.16,0.13,0.29,0.16,0.29,be
David von Ballmoos,SUI,GK, Young Boys,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ch
Simon Banza,COD,FW, Braga,1996,6,4,341,3.8,0,1,1,0,0,0,2,0,1.1,1.1,0.2,1.3,5,10,28,0.00,0.26,0.26,0.00,0.26,0.29,0.05,0.34,0.29,0.34,pt
Bradley Barcola,FRA,"FW,DF", Paris S-G,2002,6,3,262,2.9,1,0,1,1,0,0,0,0,2.0,2.0,0.2,2.3,15,11,33,0.34,0.00,0.34,0.34,0.34,0.70,0.08,0.78,0.70,0.78,fr
Abdülkerim Bardakcı,TUR,DF, Galatasaray,1994,6,6,540,6.0,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,6,34,2,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,tr
Roony Bardghji,SWE,"MF,FW", FC Copenhagen,2005,4,1,146,1.6,1,0,1,1,0,0,0,0,0.5,0.5,0.3,0.8,6,2,8,0.62,0.00,0.62,0.62,0.62,0.28,0.21,0.49,0.28,0.49,dk
Nicolò Barella,ITA,MF, Inter,1997,8,4,468,5.2,0,1,1,0,0,0,1,0,0.9,0.9,1.8,2.7,10,46,24,0.00,0.19,0.19,0.00,0.19,0.16,0.35,0.51,0.16,0.51,it
Harvey Barnes, ENG,FW,g Newcastle Utd,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,en
Romário Baró,POR,MF, Porto,2000,1,1,63,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.20,pt
Ander Barrenetxea,ESP,"FW,MF", Real Sociedad,2001,7,5,397,4.4,1,1,2,1,0,0,1,0,0.5,0.5,1.2,1.7,22,21,64,0.23,0.23,0.45,0.23,0.45,0.10,0.28,0.38,0.10,0.38,es
Pablo Barrios,ESP,MF, Atlético Madrid,2003,5,2,190,2.1,1,1,2,1,0,0,0,0,0.2,0.2,0.3,0.5,2,11,8,0.47,0.47,0.95,0.47,0.95,0.13,0.15,0.28,0.13,0.28,es
Davide Bartesaghi,ITA,FW, Milan,2005,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,it
Alessandro Bastoni,ITA,DF, Inter,1999,7,6,500,5.6,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,6,23,9,0.00,0.00,0.00,0.00,0.00,0.06,0.07,0.13,0.06,0.13,it
Jelle Bataille,BEL,DF, Antwerp,1999,6,4,410,4.6,0,1,1,0,0,0,1,0,0.0,0.0,1.0,1.0,5,21,19,0.00,0.22,0.22,0.00,0.22,0.00,0.21,0.21,0.00,0.21,be
Christoph Baumgartner,AUT,MF, RB Leipzig,1999,6,0,118,1.3,0,0,0,0,0,0,0,0,0.8,0.8,0.1,0.9,5,5,4,0.00,0.00,0.00,0.00,0.00,0.63,0.05,0.68,0.63,0.68,de
Sheraldo Becker,SUR,FW, Union Berlin,1995,5,4,365,4.1,2,0,2,2,0,0,0,0,1.3,1.3,0.8,2.1,19,11,30,0.49,0.00,0.49,0.49,0.49,0.32,0.20,0.53,0.32,0.53,de
Sheraldo Becker,SUR,FW, Real Sociedad,1995,1,1,60,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,es
Thomas Beelen,NED,DF, Feyenoord,2001,1,1,78,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,nl
Kevin Behrens,GER,FW, Union Berlin,1991,5,4,299,3.3,0,0,0,0,0,0,0,0,0.9,0.9,0.0,1.0,4,4,16,0.00,0.00,0.00,0.00,0.00,0.28,0.01,0.29,0.28,0.29,de
Armel Bella Kotchap,GER,DF, PSV Eindhoven,2001,2,1,84,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,nl
Jude Bellingham, ENG,"MF,FW", Real Madrid,2003,6,6,532,5.9,4,4,8,4,0,0,2,0,2.7,2.7,2.1,4.8,24,51,51,0.68,0.68,1.35,0.68,1.35,0.46,0.35,0.81,0.46,0.81,es
Walter Benítez,ARG,GK, PSV Eindhoven,1993,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,nl
Loris Benito,SUI,DF, Young Boys,1992,5,5,406,4.5,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,2,15,0,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,ch
Ramy Bensebaini,ALG,DF, Dortmund,1995,5,4,375,4.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,6,14,18,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06,de
Lucas Beraldo,BRA,DF, Paris S-G,2003,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,fr
Paulo Bernardo,POR,MF,t Celtic,2002,6,2,312,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,5,9,12,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.03,0.01,0.03,sc
Juan Bernat,ESP,DF, Benfica,1993,2,1,111,1.2,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,1,3,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,pt
Mads Bidstrup,DEN,MF, RB Salzburg,2001,6,6,494,5.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,11,5,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,at
Justin Bijlow,NED,GK, Feyenoord,1998,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,nl
Janis Blaswich,GER,GK, RB Leipzig,1991,5,5,450,5.0,0,1,1,0,0,0,0,0,0.0,0.0,0.3,0.3,0,0,0,0.00,0.20,0.20,0.00,0.20,0.00,0.06,0.06,0.00,0.06,de
Lewin Blum,SUI,DF, Young Boys,2001,4,2,216,2.4,1,0,1,1,0,0,1,0,0.1,0.1,0.1,0.2,4,6,6,0.42,0.00,0.42,0.42,0.42,0.04,0.03,0.07,0.04,0.07,ch
Oscar Bobb,NOR,"FW,MF",g Manchester City,2003,4,2,218,2.4,1,0,1,1,0,0,0,0,0.2,0.2,0.2,0.4,7,6,10,0.41,0.00,0.41,0.41,0.41,0.09,0.08,0.17,0.09,0.17,en
Sacha Boey,FRA,DF, Galatasaray,2000,6,6,540,6.0,1,0,1,1,0,0,2,0,0.2,0.2,0.5,0.7,18,41,38,0.17,0.00,0.17,0.17,0.17,0.04,0.08,0.12,0.04,0.12,tr
Nicolai Boilesen,DEN,"DF,FW", FC Copenhagen,1992,3,1,93,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dk
Valerii Bondar,UKR,DF, Shakhtar,1999,4,4,360,4.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ua
Artem Bondarenko,UKR,MF, Shakhtar,2000,4,2,221,2.5,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,1,6,6,0.00,0.00,0.00,0.00,0.00,0.20,0.01,0.22,0.20,0.22,ua
Leonardo Bonucci,ITA,DF, Union Berlin,1987,3,3,259,2.9,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,de
Gonçalo Borges,POR,FW, Porto,2001,3,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,pt
Cristian Borja,COL,DF, Braga,1993,6,6,517,5.7,0,0,0,0,0,0,1,0,0.0,0.0,0.6,0.6,18,26,34,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10,pt
Olivier Boscagli,FRA,DF, PSV Eindhoven,1997,7,7,611,6.8,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,6,36,1,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,nl
Sven Botman,NED,DF,g Newcastle Utd,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,en
Julian Brandt,GER,"MF,FW", Dortmund,1996,7,5,402,4.5,1,1,2,1,0,0,0,0,0.6,0.6,0.7,1.3,8,13,29,0.22,0.22,0.45,0.22,0.45,0.13,0.16,0.29,0.13,0.29,de
Bruma,POR,FW, Braga,1994,5,4,371,4.1,2,1,3,2,0,0,0,0,0.7,0.7,0.4,1.1,22,26,47,0.49,0.24,0.73,0.49,0.73,0.17,0.09,0.27,0.17,0.27,pt
Osman Bukari,GHA,FW, Red Star,1998,6,5,486,5.4,2,2,4,2,0,0,1,0,1.0,1.0,2.5,3.4,24,22,41,0.37,0.37,0.74,0.37,0.74,0.18,0.46,0.63,0.18,0.63,rs
Dan Burn, ENG,DF,g Newcastle Utd,1992,4,3,277,3.1,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,1,11,8,0.32,0.00,0.32,0.32,0.32,0.07,0.00,0.07,0.07,0.07,en
Jean Butez,FRA,GK, Antwerp,1995,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,be
Jamie Bynoe-Gittens, ENG,"FW,MF", Dortmund,2004,4,2,158,1.8,1,0,1,1,0,0,0,0,0.4,0.4,0.1,0.5,12,4,13,0.57,0.00,0.57,0.57,0.57,0.21,0.05,0.26,0.21,0.26,de
Jens Cajuste,SWE,MF, Napoli,1999,6,2,159,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,6,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,it
Davide Calabria,ITA,DF, Milan,1996,6,5,428,4.8,0,1,1,0,0,0,1,0,0.2,0.2,1.0,1.3,2,16,14,0.00,0.21,0.21,0.00,0.21,0.04,0.22,0.26,0.04,0.26,it
Hakan Çalhanoğlu,TUR,MF, Inter,1994,6,6,509,5.7,1,0,1,0,1,1,2,0,1.1,0.4,1.5,1.8,9,31,11,0.18,0.00,0.18,0.00,0.00,0.22,0.28,0.49,0.07,0.35,it
Eduardo Camavinga,FRA,"MF,DF", Real Madrid,2002,6,6,442,4.9,0,1,1,0,0,0,2,0,0.2,0.2,0.5,0.7,9,34,13,0.00,0.20,0.20,0.00,0.20,0.04,0.10,0.14,0.04,0.14,es
Emre Can,GER,"MF,DF", Dortmund,1994,6,6,477,5.3,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.3,1,16,4,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,de
João Cancelo,POR,DF, Barcelona,1994,8,7,637,7.1,2,1,3,2,0,0,1,0,0.5,0.5,0.8,1.3,31,53,46,0.28,0.14,0.42,0.28,0.42,0.07,0.12,0.19,0.07,0.19,es
Nicolás Capaldo,ARG,"MF,DF", RB Salzburg,1997,4,2,212,2.4,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,4,6,7,0.00,0.00,0.00,0.00,0.00,0.07,0.08,0.15,0.07,0.15,at
Fábio Cardoso,POR,DF, Porto,1994,3,3,269,3.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,pt
David Carmo,ANG,DF, Porto,1999,4,4,360,4.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,19,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,pt
Cameron Carter-Vickers,USA,DF,t Celtic,1997,4,3,299,3.3,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,8,0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,sc
Dani Carvajal,ESP,DF, Real Madrid,1992,6,5,467,5.2,0,1,1,0,0,0,1,0,0.1,0.1,0.9,1.0,10,14,23,0.00,0.19,0.19,0.00,0.19,0.02,0.17,0.19,0.02,0.19,es
Fabio Carvalho,POR,MF, RB Leipzig,2002,3,1,123,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,5,4,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,de
Vitor Carvalho,BRA,MF, Braga,1997,5,4,264,2.9,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,2,8,3,0.00,0.00,0.00,0.00,0.00,0.11,0.02,0.13,0.11,0.13,pt
Marc Casado,ESP,MF, Barcelona,2003,2,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,es
Nicolò Casale,ITA,DF, Lazio,1998,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,it
Casemiro,BRA,MF,g Manchester Utd,1992,2,2,166,1.8,2,0,2,2,0,0,2,1,1.0,1.0,0.1,1.1,1,11,2,1.08,0.00,1.08,1.08,1.08,0.55,0.04,0.58,0.55,0.58,en
Valentín Castellanos,ARG,FW, Lazio,1998,7,1,218,2.4,0,0,0,0,0,0,2,0,1.4,1.4,0.1,1.5,2,5,16,0.00,0.00,0.00,0.00,0.00,0.57,0.05,0.62,0.57,0.62,it
André Castro,POR,MF, Braga,1988,1,0,5,0.1,1,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,18.00,0.00,18.00,18.00,18.00,0.48,0.00,0.48,0.48,0.48,pt
